CODIGO;DESCRIPCION;CODIGO_AGRUP;DESCRIPCION_AGRUP
I00;Fiebre reumatica sin afectacion cardiaca;I00-I02;Fiebre reumática aguda
I01.0;Pericarditis reumatica aguda;I00-I02;Fiebre reumática aguda
I01.1;Endocarditis reumatica aguda;I00-I02;Fiebre reumática aguda
I01.2;Miocarditis reumatica aguda;I00-I02;Fiebre reumática aguda
I01.8;Otra enfermedad cardiaca reumatica aguda;I00-I02;Fiebre reumática aguda
I01.9;Cardiopatia reumatica aguda, no especificada;I00-I02;Fiebre reumática aguda
I02.0;Corea reumatica con afectacion cardiaca;I00-I02;Fiebre reumática aguda
I02.9;Corea reumatica sin afectacion cardiaca;I00-I02;Fiebre reumática aguda
I05.0;Estenosis mitral reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I05.1;Insuficiencia mitral reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I05.2;Estenosis mitral reumatica con insuficiencia;I05-I09;Enfermedades reumáticas crónicas cardiacas
I05.8;Otras enfermedades reumaticas de la valvula mitral;I05-I09;Enfermedades reumáticas crónicas cardiacas
I05.9;Enfermedad reumatica de la valvula mitral, no especificada;I05-I09;Enfermedades reumáticas crónicas cardiacas
I06.0;Estenosis aortica reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I06.1;Insuficiencia aortica reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I06.2;Estenosis aortica reumatica con insuficiencia;I05-I09;Enfermedades reumáticas crónicas cardiacas
I06.8;Otras enfermedades reumaticas de la valvula aortica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I06.9;Enfermedad reumatica de la vavula aortica, no especificada;I05-I09;Enfermedades reumáticas crónicas cardiacas
I07.0;Estenosis tricuspidea reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I07.1;Insuficiencia tricuspidea reumatica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I07.2;Estenosis e insuficiencia tricuspideas reumaticas;I05-I09;Enfermedades reumáticas crónicas cardiacas
I07.8;Otras enfermedades reumaticas de valvula tricuspide;I05-I09;Enfermedades reumáticas crónicas cardiacas
I07.9;Enfermedad reumatica de la valvula tricuspide, no especificada;I05-I09;Enfermedades reumáticas crónicas cardiacas
I08.0;Trastornos reumaticos tanto de la valvula mitral como de la aortica;I05-I09;Enfermedades reumáticas crónicas cardiacas
I08.1;Trastornos reumaticos tanto de la valvula mitral como de la tricuspide;I05-I09;Enfermedades reumáticas crónicas cardiacas
I08.2;Trastornos reumaticos tanto de la valvula aortica como de la tricuspide;I05-I09;Enfermedades reumáticas crónicas cardiacas
I08.3;Trastornos reumaticos combinados de las valvulas mitral, aortica y tricuspide;I05-I09;Enfermedades reumáticas crónicas cardiacas
