TEXTO;CORRECCION
estenosis;estenósis
miocardio;miocárdio
orígen;origen
cardiaca;cardíaca
aórta;aorta
ictús;ictus
angioplastía;angioplastia
uso;usó
diabétes;diabetes
hipertrofía;hipertrofia
anémia;anemia
cardiaco;cardíaco
miocardiopatia;miocardiopatia
fármacoactivos;farmacoactivos
cronica;crónica
cardiopatia;cardiopatía
arrítmias;arritmias
hipotiroídismo;hipotiroidismo
aurículoventricular;auriculoventricular
ángor;angor
isquemica;isquémica
estadio;estadío
realiza;realizá
sindrome;síndrome
completo;completó
significativa;significatíva
varices;várices
aortica;aórtica
hemorragía;hemorragia
flútter;flutter
cardiacas;cardíacas
fibrinólisis;fibrinolisis
diáfragma;diafragma
arteríolas;arteriolas
imágen;imagen
miocardiopatia;miocardiopatía
disfuncion;disfunción
protesis;prótesis
carotida;carótida
isquemico;isquémico
revascularizacion;revascularización
sustitucion;sustitución
infeccion;infección
afectacion;afectación
sintomatica;sintomática
biologica;biológica
hemisferico;hemisférico
fibrilacion;fibrilación
cirugia;cirugía
incluido;incluído
lesion;lesión
oclusion;oclusión
percutanea;percutánea
pericardica;pericárdica
poplitea;poplítea
iliaca;ilíaca
etiologia;etiología
hipertension;hipertensión
cardiacos;cardíacos
estasis;éstasis
colon;colón
pericardico;pericárdico
relacion;relación
quirurgica;quirúrgica
anatomica;anatómica
nefropatia;nefropatía
paroxistica;paroxística
cronico;crónico
arteriopatia;arteriopatía
sintomatico;sintomático
vértebrobasilar;vertebrobasilar
anticoagulacion;anticoagulación
carotidea;carotídea
deficit;déficit
extrasístolia;extrasistolia
percutaneamente;percutáneamente
asintomatica;asintomática
amputacion;amputación
cateter;catéter
ulcera;úlcera
balon;balón
candida;cándida
popliteo;poplíteo
nomina;nómina
anemico;anémico
normocitica;normocítica
sincopes;síncopes
sistolica;sistólica
valvulopatia;valvulopatía
cronologia;cronología
diabetica;diabética
evolucion;evolución
hemodialisis;hemodiálisis
indicacion;indicación
ineficáz;ineficaz
metalica;metálica
trombectomia;trombectomía
valvula;válvula
miocardica;miocárdica
tricuspidea;tricuspídea
embolico;embolíco
neumonia;neumonía
obstruccion;obstrucción
ocluida;ocluída
pulmon;pulmón
clinica;clínica
elevacion;elevación
mecanica;mecánica
normocromica;normocrómica
sistemica;sistémica
terminologia;terminología
toracico;torácico
ventriculo;ventrículo
diagnostico;diagnóstico
hemorragico;hemorrágico
hepatica;hepática
hipertrofica;hipertrófica
reparacion;reparación
sincope;síncope
sintomaticas;sintomáticas
asintomatico;asintomático
cardioembolico;cardioembólico
carotideo;carotídeo
funcion;función
intrapericardica;intrapericárdica
postquirurgica;postquirúrgica
ulceras;úlceras
vias;vías
anatomicamente;anatómicamente
irrigacion;irrigación
descompensacion;descompensación
ferropenico;ferropénico
idiopatica;idiopática
isquemicohipertensiva;isquémicohipertensiva
lenticuloestriadas;lentículoestriadas
rapida;rápida
situacion;situación
subita;súbita
taquimiocardiopatia;taquimiocardiopatía
coronariografia;coronariografía
diarreico;diarréico
dilatacion;dilatación
documento;documentó
epilepsía;epilepsia
estimulacion;estimulación
intracardiaca;intracardíaca
midobliteracion;midobliteración
paraplejía;paraplejia
periferica;periférica
pluripatologica;pluripatológica
cardioproteccion;cardioprotección
hipocroma;hipocróma
intracardiacos;intracardíacos
regurgitacion;regurgitación
resolucion;resolución
sintomas;síntomas
sistolico;sistólico
sobreinfeccion;sobreinfección
aortico;aórtico
arbol;árbol
diastolica;diastólica
diseccion;disección
hemisfericos;hemisféricos
hemorragica;hemorrágica
humeda;húmeda
microcitica;microcítica
paroxistico;paroxístico
pluripatologia;pluripatología
prostata;próstata
alveolos;alvéolos
apex;ápex
bradiarrítmias;bradiarritmias
cadaver;cadáver
celulas;células
corticosubcortical;córticosubcortical
dialisis;diálisis
ergometria;ergometría
espontanea;espontánea
ferropenica;ferropénica
hemodinamico;hemodinámico
pluripatologico;pluripatológico
prevencion;prevención
progresion;progresión
sobredosificacion;sobredosificación
cardiomiopatia;cardiomiopatía
cardiomiopatias;cardiomiopatías
clinico;clínico
electrica;eléctrica
electricamente;eléctricamente
endoprotesis;endoprótesis
etiologias;etiologías
fistula;fístula
higado;hígado
hipercapnica;hipercápnica
idiopaticas;idiopáticas
levosimendan;levosimendán
medicacion;medicación
mitroaortica;mitroaórtica
neuropatia;neuropatía
obliteracion;obliteración
percutaneo;percutáneo
talon;talón
tricuspide;tricúspide
trombocitopenica;trombocitopénica
ultima;última
via;vía
angiopatia;angiopatía
aterotrombotico;aterotrombótico
atipico;atípico
auricula;aurícula
cardioversion;cardioversión
conduccion;conducción
dificil;difícil
diureticos;diuréticos
encefalopatia;encefalopatía
enolico;enólico
esternopericardicos;esternopericárdicos
exito;éxito
expresion;expresión
fibriloflutter;fibriloflútter
folico;fólico
fraccion;fracción
gammapatia;gammapatía
iliaco;ilíaco
induccion;inducción
movilizacion;movilización
patologia;patología
patron;patrón
podria;podría
polineuropatia;polineuropatía
quirurgicamente;quirúrgicamente
reperfusion;reperfusión
repeticion;repetición
subclinico;subclínico
tipico;típico
transfusion;transfusión
trombotica;trombótica
valoracion;valoración
ablacion;ablación
angiograficamente;angiográficamente
cardiogenico;cardiogénico
cefalorraquideo;cefalorraquídeo
diabetico;diabético
encefalica;encefálica
enolica;enólica
esofagicas;esofágicas
exitus;éxitus
hemodinamica;hemodinámica
hemodinamicamente;hemodinámicamente
hepatopatia;hepatopatía
hiperglucemia;hiperglucemía
histologica;histológica
holosistolico;holosistólico
ileo;íleo
ionicas;iónicas
kaplan;kaplán
linea;línea
medica;médica
miocardico;miocárdico
morfogenesis;morfogénesis
necrotico;necrótico
prefijo;prefijó
recanalizacion;recanalización
retinopatia;retinopatía
sanguineos;sanguíneos
simpaticomimetica;simpaticomimética
supracondilea;supracondílea
toracica;torácica
toxica;tóxica
angiograficas;angiográficas
aparicion;aparición
area;área
asi;así
cutaneo;cutáneo
decubito;decúbito
dias;días
diastolico;diastólico
ecocardiograficos;ecocardiográficos
enzimatica;enzimática
especifica;específica
espontaneo;espontáneo
estres;estrés
hemiplejia;hemiplejía
hipocromica;hipocrómica
hospitalizacion;hospitalización
implantacion;implantación
inflamacion;inflamación
intervencion;intervención
labil;lábil
lobectomia;lobectomía
minima;mínima
multiple;múltiple
musculo;músculo
necrotica;necrótica
neumopatia;neumopatía
oncologico;oncologíco
paralitico;paralítico
periodica;periódica
postquirurgico;postquirúrgico
presion;presión
quirurgico;quirúrgico
realizandose;realizándose
rinoplastia;rinoplastía
talamico;talámico
tardia;tardía
terapeutica;terapéutica
traqueostomia;traqueostomía
tromboangeitis;tromboangeítis
yatrogenica;yatrogénica
acido;ácido
anatomia;anatomía
anemizacion;anemización
angulo;ángulo
antifosfolipidos;antifosfolípidos
arterialcardiopatia;arterialcardiopatía
arteriografia;arteriografía
