TEXTO;CORRECCION
interactuaciones;interactuación
ha;haber
puede;poder
parece;parecer
da;dar
sabe;saber
visto;ver
sigue;seguir
quiere;querer
llega;llegar
envuelve;envolver
responde;responder
asocia;asociar
denomina;denominar
conlleva;conllevar
aconseja;aconsejar
inicia;iniciar
revela;revelar
caracteriza;caracterizar
pierde;perder
disminuye;disminuir
tiende;tender
favorece;favorecer
requiere;requerir
facilita;facilitar
utiliza;utilizar
realiza;realizar
introduce;introducir
desliza;deslizar
coloca;colocar
implanta;implantar
proporciona;proporcionar
impide;impedir
incluye;incluir
recorre;recorrer
carece;carecer
viaja;viajar
describe;describir
clasifica;clasificar
divide;dividir
bifurca;bifurcar
reconduce;reconducir
regresa;regresar
cierra;cerrar
ramifica;ramificar
circula;circular
trae;traer
recibe;recibir
funciona;funcionar
contrae;contraer
empuja;empujar
dispara;disparar
late;latir
consta;constar
descansa;descansar
fluye;fluir
libera;liberar
absorbe;absorber
devuelve;devolver
transporta;transportar
define;definir
justifica;justificar
estimula;estimular
propaga;propagar
constituye;constituir
cubre;cubrir
genera;generar
permanece;permanecer
enfoca;enfocar
centra;centrar
normaliza;normalizar
dirige;dirigir
esconde;esconder
excede;exceder
compromete;comprometer
usa;usar
aprecia;apreciar
resuelve;resolver
fundamenta;fundamentar
observa;observar
inhibe;inhibir
provoca;provocar
prefiere;preferir
avanza;avanzar
multiplica;multiplicar
recubre;recubrir
induce;inducir
sugiere;sugerir
atribuye;atribuir
sintetiza;sintetizar
cursa;cursar
modifica;modificar
desarrolla;desarrollar
transforma;transformar
deposita;depositar
contribuye;contribuir
estabiliza;estabilizar
contempla;contemplar
informa;informar
desinhibe;desinhibir
solubiliza;solubilizar
desplaza;desplazar
sufre;sufrir
disemina;diseminar
retrasa;retrasar
excita;excitar
provee;proveer
camina;caminar
limita;limitar
influye;influir
envejece;envejecer
agrieta;agrietar
especula;especular
traduce;traducir
inyecta;inyectar
ocupa;ocupar
separa;separar
ingresa;ingresar
origina;originar
repercute;repercutir
ausculta;auscultar
localiza;localizar
establece;establecer
invierte;invertir
equivale;equivaler
desemboca;desembocar
discurre;discurrir
surge;surgir
tapiza;tapizar
emite;emitir
aporta;aportar
transcurre;transcurrir
sube;subir
traspasa;traspasar
atraviesa;atravesar
radica;radicar
oscila;oscilar
penetra;penetrar
distribuye;distribuir
asciende;ascender
supera;superar
determina;determinar
progresa;progresar
diagnostica;diagnosticar
visualiza;visualizar
obliga;obligar
identifica;identificar
desconoce;desconocer
confirma;confirmar
somete;someter
incrementa;incrementar
ubica;ubicar
jama;jamar
controla;controlar
predomina;predominar
fallece;fallecer
ejerce;ejercer
mide;medir
logra;lograr
desciende;descender
precipita;precipitar
comprime;comprimir
suministra;suministrar
agrava;agravar
promueve;promover
aproxima;aproximar
termina;terminar
altera;alterar
obstruye;obstruir
ralentiza;ralentizar
administra;administrar
destruye;destruir
detecta;detectar
despolariza;despolarizar
degenera;degenerar
persiste;persistir
nace;nacer
piensa;pensar
desencadena;desencadenar
duplica;duplicar
celebra;celebrar
calcula;calcular
relaja;relajar
respecta;respectar
eleva;elevar
aplica;aplicar
recomienda;recomendar
estudia;estudiar
designa;designar
une;unir
mueve;mover
desenfoca;desenfocar
opera;operar
encarga;encargar
maneja;manejar
desea;desear
trabaja;trabajar
lee;leer
recanaliza;recanalizar
atiende;atender
ulcera;ulcerar
rompe;romper
enclava;enclavar
cicatriza;cicatrizar
percibe;percibir
retuerce;retorcer
cede;ceder
acostumbra;acostumbrar
interesa;interesar
prepara;preparar
regurgita;regurgitar
descompensa;descompensar
sobrevive;sobrevivir
adapta;adaptar
suena;sonar
amerita;ameritar
cesa;cesar
documenta;documentar
dificulta;dificultar
arrastra;arrastrar
transmite;transmitir
acuesta;acostar
interpreta;interpretar
aparenta;aparentar
asume;asumir
dilata;dilatar
elige;elegir
interrumpe;interrumpir
experimenta;experimentar
ataca;atacar
subdivide;subdividir
precede;preceder
menciona;mencionar
integra;integrar
apoya;apoyar
egresa;egresar
