TEXTO;CORRECCION
son;ser
suelen;soler
debe;deber
conoce;conocer
alberga;albergar
ocurre;ocurrir
fue;ser
está;estar
envuelve;envolver
irriga;irrigar
haciendo;hacer
nutre;nutrir
existe;existir
provoquen;provocar
responde;responder
puede;poder
asocia;asociar
denomina;denominar
produce;producir
conlleva;conllevar
suele;soler
indica;indicar
aconseja;aconsejar
inicia;iniciar
revela;revelar
sitúa;situar
da;dar
caracteriza;caracterizar
aparece;aparecer
pierde;perder
aumenta;aumentar
llamado;llamar
permite;permitir
disminuye;disminuir
consiste;consistir
ha;haber
tiende;tender
afectado;afectar
favorece;favorecer
requiere;requerir
combina;combinar
facilita;facilitar
utiliza;utilizar
realiza;realizar
introduce;introducir
desliza;deslizar
coloca;colocar
infla;inflar
implanta;implantar
fueron;ser
eran;ser
proporciona;proporcionar
impide;impedir
queda;quedar
conduce;conducir
incluye;incluir
recorre;recorrer
carece;carecer
sale;salir
viaja;viajar
llega;llegar
presenta;presentar
describe;describir
vuelve;volver
pasa;pasar
clasifica;clasificar
divide;dividir
comienza;comenzar
extiende;extender
bifurca;bifurcar
oxigena;oxigenar
conocido;conocer
reconduce;reconducir
regresa;regresar
cierra;cerrar
explica;explicar
ramifica;ramificar
recoge;recoger
impulsa;impulsar
circula;circular
lleva;llevar
trae;traer
retorna;retornar
recibe;recibir
bombea;bombear
representa;representar
funciona;funcionar
necesita;necesitar
contrae;contraer
empuja;empujar
entra;entrar
encuentra;encontrar
dispara;disparar
contraigan;contraer
late;latir
consta;constar
descansa;descansar
fluye;fluir
libera;liberar
absorbe;absorber
devuelve;devolver
transporta;transportar
define;definir
justifica;justificar
permitan;permitir
estimula;estimular
alcanza;alcanzar
propaga;propagar
habla;hablar
constituye;constituir
llamados;llamar
cubre;cubrir
alcancen;alcanzar
genera;generar
permanece;permanecer
implica;implicar
enfoca;enfocar
empeora;empeorar
centra;centrar
trata;tratar
normaliza;normalizar
dirige;dirigir
depende;depender
procede;proceder
acompaña;acompañar
esconde;esconder
excede;exceder
compromete;comprometer
usa;usar
aprecia;apreciar
dicho;decir
resuelve;resolver
refiere;referir
significa;significar
añadido;añadir
fundamenta;fundamentar
puedan;poder
promuevan;promover
ve;ver
visto;ver
observa;observar
considera;considerar
sirve;servir
reduce;reducir
inhibe;inhibir
provoca;provocar
prefiere;preferir
cubierto;cubrir
avanza;avanzar
situado;situar
multiplica;multiplicar
recubre;recubrir
induce;inducir
sugiere;sugerir
atribuye;atribuir
sintetiza;sintetizar
cursa;cursar
nacidos;nacer
modifica;modificar
desarrolla;desarrollar
transforma;transformar
deposita;depositar
contribuye;contribuir
convierte;convertir
estabiliza;estabilizar
abre;abrir
contempla;contemplar
informa;informar
aparezcan;aparecer
desinhibe;desinhibir
solubiliza;solubilizar
formen;formar
emplea;emplear
desplaza;desplazar
sufre;sufrir
disemina;diseminar
retrasa;retrasar
excita;excitar
bloquea;bloquear
requieran;requerir
provee;proveer
corresponde;corresponder
camina;caminar
limita;limitar
influye;influir
ven;ver
envejece;envejecer
circunda;circundar
agrieta;agrietar
especula;especular
acaba;acabar
traduce;traducir
recupera;recuperar
inyecta;inyectar
llama;llamar
dado;dar
ocupa;ocupar
hubo;haber
creen;creer
sucede;suceder
separa;separar
resulta;resultar
ingresa;ingresar
origina;originar
repercute;repercutir
ausculta;auscultar
localiza;localizar
establece;establecer
invierte;invertir
continúa;continuar
equivale;equivaler
desemboca;desembocar
discurre;discurrir
salen;salir
surge;surgir
tapiza;tapizar
actúa;actuar
prolonga;prolongar
emite;emitir
aporta;aportar
transcurre;transcurrir
empieza;empezar
sube;subir
traspasa;traspasar
atraviesa;atravesar
radica;radicar
oscila;oscilar
propulsa;propulsar
penetra;penetrar
baña;bañar
aísla;aislar
distribuye;distribuir
mezclen;mezclar
asciende;ascender
supera;superar
determina;determinar
progresa;progresar
persistan;persistir
diagnostica;diagnosticar
visualiza;visualizar
acerca;acercar
ocasiona;ocasionar
desarrollado;desarrollar
obliga;obligar
cabe;caber
lleven;llevar
basta;bastar
identifica;identificar
desconoce;desconocer
confirma;confirmar
podemos;poder
somete;someter
varía;variar
parece;parecer
consumen;consumir
incrementa;incrementar
existan;existir
pretende;pretender
tengan;tener
ubica;ubicar
involucra;involucrar
vale;valer
estén;estar
jama;jamar
controla;controlar
predomina;predominar
fallece;fallecer
ejerce;ejercer
valora;valorar
mide;medir
logra;lograr
desciende;descender
precipita;precipitar
comprime;comprimir
deteriora;deteriorar
vuelvan;volver
deja;dejar
suministra;suministrar
prevé;prever
agrava;agravar
promueve;promover
aproxima;aproximar
termina;terminar
intenta;intentar
conocidas;conocer
altera;alterar
expulsa;expulsar
obstruye;obstruir
sean;ser
ralentiza;ralentizar
consigue;conseguir
administra;administrar
destruye;destruir
brinda;brindar
detecta;detectar
despolariza;despolarizar
degenera;degenerar
persiste;persistir
nace;nacer
perpetúa;perpetuar
sigue;seguir
comparen;comparar
piensa;pensar
visualicen;visualizar
desencadena;desencadenar
duplica;duplicar
sabe;saber
cambia;cambiar
posee;poseer
celebra;celebrar
calcula;calcular
relaja;relajar
cae;caer
contengan;contener
respecta;respectar
juega;jugar
eleva;elevar
aplica;aplicar
recolecten;recolectar
desinfla;desinflar
cambien;cambiar
recomienda;recomendar
estudia;estudiar
incorpora;incorporar
equipara;equiparar
designa;designar
une;unir
ofrece;ofrecer
hemos;haber
mueve;mover
desenfoca;desenfocar
deban;deber
quiere;querer
fracasado;fracasar
controlen;controlar
produzcan;producir
opera;operar
encarga;encargar
posean;poseer
establezcan;establecer
maneja;manejar
desea;desear
trabaja;trabajar
lee;leer
recanaliza;recanalizar
perdido;perder
atiende;atender
ulcera;ulcerar
rompe;romper
enclava;enclavar
daña;dañar
desempeña;desempeñar
caigan;caer
infiltra;infiltrar
muerta;morir
cicatriza;cicatrizar
percibe;percibir
retuerce;retorcer
cede;ceder
indiquen;indicar
acostumbra;acostumbrar
interesa;interesar
prepara;preparar
regurgita;regurgitar
descompensa;descompensar
sobrevive;sobrevivir
adapta;adaptar
inclina;inclinar
levanta;levantar
suena;sonar
amerita;ameritar
presenten;presentar
cesa;cesar
documenta;documentar
afecten;afectar
dificulta;dificultar
arrastra;arrastrar
transmite;transmitir
acuesta;acostar
interpreta;interpretar
empeoren;empeorar
causen;causar
desplace;desplacer
educa;educar
retengan;retener
mantengan;mantener
aparenta;aparentar
desplacen;desplacer
asume;asumir
envía;enviar
dilata;dilatar
elige;elegir
nacido;nacer
den;dar
roto;romper
hereda;heredar
interrumpe;interrumpir
cree;creer
experimenta;experimentar
reúne;reunir
ataca;atacar
perdida;perder
revelen;revelar
subdivide;subdividir
precede;preceder
consolida;consolidar
demuestra;demostrar
menciona;mencionar
integra;integrar
apoya;apoyar
escrito;escribir
indaga;indagar
egresa;egresar
acude;acudir
retarda;retardar
relaciona;relacionar
alivia;aliviar
activen;activar
evita;evitar
verifica;verificar
acarrea;acarrear
frena;frenar
manifiesten;manifestar
sufran;sufrir
denota;denotar
pulsa;pulsar
sienta;sentar
restaura;restaurar
expande;expandir
adelgaza;adelgazar
rasga;rasgar
descarta;descartar
posibilita;posibilitar
efectúa;efectuar
drena;drenar
omite;omitir
sientan;sentar
conecta;conectar
coagula;coagular
acelera;acelerar
parecido;parecer
distingue;distinguir
antecede;anteceder
entierra;enterrar
cruza;cruzar
desenmascara;desenmascarar
cansen;cansar
comunica;comunicar
cabalga;cabalgar
elimina;eliminar
regula;regular
emerge;emerger
añade;añadir
comprende;comprender
analiza;analizar
vende;vender
fabrica;fabricar
cultiva;cultivar
extrae;extraer
crece;crecer
disuelve;disolver
abusa;abusar
fuma;fumar
difiere;diferir
inhala;inhalar
siente;sentir
ensalza;ensalzar
bautiza;bautizar
escribe;escribir
ingiere;ingerir
descubre;descubrir
publica;publicar
califica;calificar
sueña;soñar
ostenta;ostentar
exporta;exportar
purifica;purificar
suprime;suprimir
diluye;diluir
cataliza;catalizar
equilibra;equilibrar
reintroduce;reintroducir
numera;numerar
anula;anular
registra;registrar
imprime;imprimir
reside;residir
aleja;alejar
di;dar
culmina;culminar
compete;competer
corrige;corregir
pertenece;pertenecer
circulen;circular
lleguen;llegar
muere;morir
necesiten;necesitar
merece;merecer
obtengan;obtener
trasciende;trascender
argumenta;argumentar
entiende;entender
defiende;defender
satisface;satisfacer
evoca;evocar
insiste;insistir
domina;dominar
explota;explotar
coincide;coincidir
reconoce;reconocer
cuestiona;cuestionar
idealiza;idealizar
repite;repetir
perdura;perdurar
simboliza;simbolizar
afirma;afirmar
intensifica;intensificar
cuesta;costar
fueran;ser
planea;planear
empobrece;empobrecer
cumple;cumplir
otorga;otorgar
adopta;adoptar
calienta;calentar
bloquen;blocar
ajusta;ajustar
vierte;verter
oxida;oxidar
sobreentiende;sobreentender
restringe;restringir
esterifica;esterificar
correlaciona;correlacionar
fomenta;fomentar
exploren;explorar
presume;presumir
crean;crear
retira;retirar
desaparece;desaparecer
autoperpetúa;autoperpetuar
contacta;contactar
participa;participar
procesa;procesar
pasada;pasar
proyecta;proyectar
modula;modular
capacita;capacitar
entren;entrar
compara;comparar
evalúa;evaluar
interfiere;interferir
combinen;combinar
agrega;agregar
investiga;investigar
relajen;relajar
disminuyan;disminuir
sobrepasa;sobrepasar
impidan;impedir
interacciona;interaccionar
colocaliza;colocalizar
excluye;excluir
superen;superar
repele;repeler
interactúa;interactuar
agita;agitar
asigna;asignar
confiere;conferir
consume;consumir
adiciona;adicionar
reacciona;reaccionar
difunde;difundir
complementa;complementar
autorregula;autorregular
intercambia;intercambiar
enlaza;enlazar
corre;correr
reemplaza;reemplazar
refuerza;reforzar
acorta;acortar
cierren;cerrar
finaliza;finalizar
hagan;hacer
diseña;diseñar
contrasta;contrastar
oblitera;obliterar
fortalece;fortalecer
asegura;asegurar
garantiza;garantizar
ejercita;ejercitar
atenúa;atenuar
plantea;plantear
fluctúa;fluctuar
concede;conceder
disocia;disociar
protege;proteger
capta;captar
influyan;influir
opta;optar
pide;pedir
restablece;restablecer
punciona;puncionar
cuantifica;cuantificar
halla;hallar
destaca;destacar
ventila;ventilar
padece;padecer
almacena;almacenar
