CODIGO|DESCRIPCION|TIPO
I00|Fiebre reumatica sin afectacion cardiaca|D
I01.0|Pericarditis reumatica aguda|D
I01.1|Endocarditis reumatica aguda|D
I01.2|Miocarditis reumatica aguda|D
I01.8|Otra enfermedad cardiaca reumatica aguda|D
I01.9|Cardiopatia reumatica aguda, no especificada|D
I02.0|Corea reumatica con afectacion cardiaca|D
I02.9|Corea reumatica sin afectacion cardiaca|D
I05.0|Estenosis mitral reumatica|D
I05.1|Insuficiencia mitral reumatica|D
I05.2|Estenosis mitral reumatica con insuficiencia|D
I05.8|Otras enfermedades reumaticas de la valvula mitral|D
I05.9|Enfermedad reumatica de la valvula mitral, no especificada|D
I06.0|Estenosis aortica reumatica|D
I06.1|Insuficiencia aortica reumatica|D
I06.2|Estenosis aortica reumatica con insuficiencia|D
I06.8|Otras enfermedades reumaticas de la valvula aortica|D
I06.9|Enfermedad reumatica de la vavula aortica, no especificada|D
I07.0|Estenosis tricuspidea reumatica|D
I07.1|Insuficiencia tricuspidea reumatica|D
I07.2|Estenosis e insuficiencia tricuspideas reumaticas|D
I07.8|Otras enfermedades reumaticas de valvula tricuspide|D
I07.9|Enfermedad reumatica de la valvula tricuspide, no especificada|D
I08.0|Trastornos reumaticos tanto de la valvula mitral como de la aortica|D
I08.1|Trastornos reumaticos tanto de la valvula mitral como de la tricuspide|D
I08.2|Trastornos reumaticos tanto de la valvula aortica como de la tricuspide|D
I08.3|Trastornos reumaticos combinados de las valvulas mitral, aortica y tricuspide|D
I08.8|Otras enfermedades reumaticas valvulares multiples|D
I08.9|Enfermedad reumatica valvular multiple, no especificada|D
I09.0|Miocarditis reumatica|D
I09.1|Enfermedades reumaticas del endocardio, valvula no especificada|D
I09.2|Pericarditis cronica reumatica|D
I09.81|Insuficiencia cardiaca reumatica|D
I09.89|Otras enfermedades reumaticas cardiacas especificadas|D
I09.9|Enfermedad reumatica del corazon, no especificada|D
I10|Hipertension esencial (primaria)|D
I11.0|Enfermedad cardiaca hipertensiva con insuficiencia cardiaca|D
I11.9|Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca|D
I12.0|Enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 5 o con enfermedad renal en estadio terminal|D
I12.9|Enfermedad renal cronica hipertensiva con enfermedad renal cronica en estadio 1 a 4 o con enfermedad renal cronica no especificada|D
